"1277"	"Zima"	1	0.125	1.3	0.7875	0.3	2.6	1.7875	1.4	0	0.9	981.1	980.45	980	77.1	72.75	69.6	-5.3	-5.75	-6.3	0.7	0.5375	0.4	"7"	"NIZKA"
"14"	"Zima"	0.9	0.1125	3	2.475	2	8	6.15	4.4	1.65	12	1007.9	1007.4875	1006.6	83.2	79.65	76.2	-6.2	-7.1625	-7.9	4.9	3.55	2.5	"1"	"NIZKA"
"1278"	"Zima"	0	0	0.8	0.675	0.4	2.5	2.05	1.3	1.85	13.9	978.1	977.2	976.6	93	92.6	91.8	-6.2	-7.1625	-7.9	-1.5	-1.6625	-1.8	"1"	"NIZKA"
"15"	"Zima"	2.9	0.3625	2.7	1.8375	0.9	6.6	3.8375	2	0.1625	1.4	1010.2	1009.3875	1008.9	91.8	85.1	76.1	-3.9	-4.7625	-5.5	8.1	6.6125	5.3	"2"	"NIZKA"
"1279"	"Zima"	1.8	0.225	0.9	0.5875	0.2	1.8	1.5125	1.3	0	0	977.4	976.7	976	92.3	91.2125	89.4	-3.9	-4.7625	-5.5	-0.8	-0.9875	-1.1	"2"	"VISOKA"
"1280"	"Zima"	1.7	0.2125	1.1	0.7375	0.2	2.5	1.7375	0.9	0	1.2	969.6	968.3375	967.3	93.7	92.525	90.5	-5.5	-5.775	-6.4	0.1	-0.05	-0.1	"3"	"NIZKA"
"1281"	"Zima"	0	0	1.3	0.625	0	2.3	1.45	0.4	0.7	4.4	966.2	964.85	964.2	94	92.1875	90.7	-6.7	-7.3625	-8.4	-0.2	-0.5	-0.6	"4"	"NIZKA"
"1282"	"Zima"	1	0.125	2.1	1.525	0.9	4.1	3.1375	1.8	0	0	966.9	966.4625	966	86.9	86.325	85.9	-7.9	-8.0875	-8.3	-0.3	-0.5125	-0.7	"5"	"NIZKA"
"16"	"Zima"	9	1.125	2.7	2.2125	1.9	3.7	3.35	3	0	1.2	1001.4	1001.0875	1000.9	74.2	71.4625	68.1	-7.2	-7.9125	-9.3	2.1	1.0375	0.5	"6"	"NIZKA"
"1283"	"Zima"	5	0.625	2.3	1.6875	0.9	3.8	3.125	2.1	0	0	966.3	966.025	965.7	91.8	90.3875	88.7	-7.2	-7.9125	-9.3	-0.5	-1.9125	-3.1	"6"	"VISOKA"
"17"	"Zima"	1.3	0.1625	1.7	1	0.5	2.7	1.9125	1.1	1.1375	7.9	1001.4	999.4625	998.4	95.3	93.525	91.5	-0.3	-2.2125	-4.1	5.6	5.2375	5	"7"	"NIZKA"
"1284"	"Zima"	2	0.25	1.8	0.6625	0.1	3.4	1.7	0.6	0.3375	2.7	965.5	964.525	963.9	96.3	94.2375	92	-0.3	-2.2125	-4.1	1.8	1.1875	0.9	"7"	"VISOKA"
"18"	"Zima"	1.2	0.15	1.8	1.2875	0.7	3.4	2.3125	1.4	1.175	11	995.9	995.0875	994.6	96.7	96.1125	94.7	0.4	0.1875	0	9.6	9.1125	8.8	"1"	"NIZKA"
"1285"	"Zima"	2	0.25	0.9	0.5625	0.3	3.3	1.6875	0.9	0.4625	4.4	962.4	961.35	960.5	98	97.6625	97.1	0.4	0.1875	0	1.7	1.3375	1.1	"1"	"VISOKA"
"19"	"Zima"	0.8	0.1	2.1	1.7	1.1	4.9	3.2625	2	1.375	9.4	999.9	998.025	996.6	93.2	91.05	89.2	-1.4	-2.6125	-4.2	8.6	8.3125	7.8	"2"	"NIZKA"
"1286"	"Zima"	1.8	0.225	1.7	0.8875	0.3	2.8	1.8375	0.8	1.125	8.3	966.8	964.425	962.3	97.8	95.5625	93	-1.4	-2.6125	-4.2	2.5	1.8625	0.6	"2"	"NIZKA"
"20"	"Zima"	5	0.625	1.9	1.325	0.7	3.1	2.4	1.6	0.2375	3.2	1007.9	1006.55	1005.6	92.8	86.3625	78.9	-5.2	-5.9625	-6.5	6.6	5.7	4.3	"3"	"NIZKA"
"1287"	"Zima"	2	0.25	1.4	0.725	0.3	3	1.7125	1	0	0	973	972.025	971.5	95.3	94.15	90.5	-5.2	-5.9625	-6.5	1.4	1.1875	1	"3"	"NIZKA"
"21"	"Zima"	2.9	0.3625	2.5	1.625	0.9	6.8	4.2125	2.5	0.225	0.5	1004.1	1001.5625	1000	92.3	74.1	60.6	-4.4	-4.8125	-5.1	7.2	6.9125	6.2	"4"	"NIZKA"
"1288"	"Zima"	1	0.125	2.2	1.2	0.5	3.4	2.3625	1.2	0.1875	1.5	970.9	969.9125	969.2	95.2	94.0625	92.9	-4.4	-4.8125	-5.1	1.6	1.0625	0.6	"4"	"NIZKA"
"22"	"Zima"	6	0.75	4.8	3.6875	2.3	10.3	8.55	5	0	0	1006.9	1005.3875	1004	53.4	49.2125	46.1	-6.1	-6.9875	-8.4	6.3	5.4125	4.9	"5"	"NIZKA"
"1289"	"Zima"	9	1.125	2.1	1.7125	1.4	5.5	4.35	2.9	0	0	973.9	972.075	970.8	80.7	76.1875	72.6	-6.1	-6.9875	-8.4	1.3	0.4625	-0.5	"5"	"NIZKA"
"23"	"Zima"	10	1.25	4.6	3.5	2.8	11.3	8.975	6.5	0	0	1011.1	1010.125	1009.6	48.9	46.35	43.4	-11.5	-11.9625	-12.6	1.6	1.1	0.6	"6"	"NIZKA"
"1290"	"Zima"	4	0.5	2.4	1.6875	1	5	3.5875	2.2	0	0	979	978.575	978.2	74.4	73.1875	72.5	-11.5	-11.9625	-12.6	-3.7	-4.1	-4.4	"6"	"VISOKA"
